CustomerID,FullName,Email,SignUpDate,City,Country
"CUST-1001","Aditya Gupta","customer.1001@example.com","2023-10-25","Pune","India"
"CUST-1002","Sai Gupta","customer.1002@example.com","2024-02-29","Ahmedabad","India"
"CUST-1003","Arjun Mehta","customer.1003@example.com","2025-06-11","Mumbai","India"
"CUST-1004","Riya Gupta","customer.1004@example.com","2023-06-27","Hyderabad","India"
"CUST-1005","Aarav Gupta","customer.1005@example.com","2023-10-10","Pune","India"
"CUST-1006","Aarav Mehta","customer.1006@example.com","2025-08-06","Bangalore","India"
"CUST-1007","Ishaan Kumar","customer.1007@example.com","2023-12-05","Kolkata","India"
"CUST-1008","Riya Patel","customer.1008@example.com","2025-04-04","Chennai","India"
"CUST-1009","Krishna Kumar","customer.1009@example.com","2023-12-12","Bangalore","India"
"CUST-1010","Ayaan Patel","customer.1010@example.com","2022-06-11","Hyderabad","India"
"CUST-1011","Aditya Sharma","customer.1011@example.com","2023-01-04","Hyderabad","India"
"CUST-1012","Aarav Kumar","customer.1012@example.com","2023-05-19","Delhi","India"
"CUST-1013","Ananya Singh","customer.1013@example.com","2022-10-01","Ahmedabad","India"
"CUST-1014","Kiara Verma","customer.1014@example.com","2024-05-31","Chennai","India"
"CUST-1015","Pari Patel","customer.1015@example.com","2023-11-23","Chennai","India"
"CUST-1016","Pari Gupta","customer.1016@example.com","2024-05-27","Mumbai","India"
"CUST-1017","Reyansh Mehta","customer.1017@example.com","2025-09-04","Ahmedabad","India"
"CUST-1018","Vivaan Patel","customer.1018@example.com","2024-01-10","Chennai","India"
"CUST-1019","Kiara Patel","customer.1019@example.com","2023-12-02","Ahmedabad","India"
"CUST-1020","Ananya Gupta","customer.1020@example.com","2022-04-24","Kolkata","India"
"CUST-1021","Sitara Verma","customer.1021@example.com","2025-08-23","Chennai","India"
"CUST-1022","Reyansh Verma","customer.1022@example.com","2025-10-04","Jaipur","India"
"CUST-1023","Pari Jain","customer.1023@example.com","2024-01-29","Chennai","India"
"CUST-1024","Vivaan Kumar","customer.1024@example.com","2023-05-13","Delhi","India"
"CUST-1025","Diya Mehta","customer.1025@example.com","2025-01-09","Chennai","India"
"CUST-1026","Kiara Singh","customer.1026@example.com","2025-10-23","Jaipur","India"
"CUST-1027","Ananya Mehta","customer.1027@example.com","2022-11-19","Kolkata","India"
"CUST-1028","Aarav Mehta","customer.1028@example.com","2024-07-07","Bangalore","India"
"CUST-1029","Ayaan Reddy","customer.1029@example.com","2023-09-20","Surat","India"
"CUST-1030","Kiara Sharma","customer.1030@example.com","2023-02-17","Bangalore","India"
"CUST-1031","Aadya Sharma","customer.1031@example.com","2023-12-25","Delhi","India"
"CUST-1032","Vihaan Patel","customer.1032@example.com","2023-01-03","Mumbai","India"
"CUST-1033","Ayaan Shah","customer.1033@example.com","2025-02-11","Pune","India"
"CUST-1034","Aditya Verma","customer.1034@example.com","2025-05-09","Kolkata","India"
"CUST-1035","Ishaan Patel","customer.1035@example.com","2023-05-03","Surat","India"
"CUST-1036","Aarav Singh","customer.1036@example.com","2022-10-15","Jaipur","India"
"CUST-1037","Sitara Shah","customer.1037@example.com","2022-01-18","Jaipur","India"
"CUST-1038","Riya Gupta","customer.1038@example.com","2023-06-18","Mumbai","India"
"CUST-1039","Kiara Kumar","customer.1039@example.com","2023-04-19","Jaipur","India"
"CUST-1040","Aditya Sharma","customer.1040@example.com","2024-05-31","Kolkata","India"
"CUST-1041","Saanvi Kumar","customer.1041@example.com","2025-10-02","Chennai","India"
"CUST-1042","Ayaan Sharma","customer.1042@example.com","2024-03-16","Mumbai","India"
"CUST-1043","Krishna Jain","customer.1043@example.com","2025-09-06","Jaipur","India"
"CUST-1044","Ayaan Sharma","customer.1044@example.com","2025-03-07","Chennai","India"
"CUST-1045","Kiara Shah","customer.1045@example.com","2025-03-01","Pune","India"
"CUST-1046","Ayaan Kumar","customer.1046@example.com","2024-09-19","Hyderabad","India"
"CUST-1047","Reyansh Shah","customer.1047@example.com","2022-06-07","Jaipur","India"
"CUST-1048","Vihaan Sharma","customer.1048@example.com","2022-03-17","Chennai","India"
"CUST-1049","Ayaan Patel","customer.1049@example.com","2025-03-23","Mumbai","India"
"CUST-1050","Aadya Reddy","customer.1050@example.com","2025-05-20","Pune","India"
"CUST-1051","Ishaan Shah","customer.1051@example.com","2024-09-26","Bangalore","India"
"CUST-1052","Ayaan Patel","customer.1052@example.com","2022-08-10","Kolkata","India"
"CUST-1053","Aadya Gupta","customer.1053@example.com","2022-12-05","Pune","India"
"CUST-1054","Riya Verma","customer.1054@example.com","2025-12-22","Delhi","India"
"CUST-1055","Krishna Jain","customer.1055@example.com","2024-02-08","Bangalore","India"
"CUST-1056","Reyansh Shah","customer.1056@example.com","2025-05-13","Jaipur","India"
"CUST-1057","Krishna Kumar","customer.1057@example.com","2023-04-10","Pune","India"
"CUST-1058","Reyansh Shah","customer.1058@example.com","2022-10-06","Delhi","India"
